seqid	taxid	species
11993	5476	candida albicans
11994	5476	candida albicans
11995	5476	candida albicans
11998	5476	candida albicans
11999	5476	candida albicans
120	5476	candida albicans
12001	5476	candida albicans
12002	5476	candida albicans
12004	5476	candida albicans
12007	5476	candida albicans
12008	5476	candida albicans
1201	5476	candida albicans
12010	5476	candida albicans
12011	5476	candida albicans
12016	5476	candida albicans
12018	5476	candida albicans
12019	5476	candida albicans
12020	5476	candida albicans
12029	5476	candida albicans
1203	5476	candida albicans
12030	5476	candida albicans
12033	5476	candida albicans
12034	5476	candida albicans
12039	5476	candida albicans
12040	5476	candida albicans
12042	5476	candida albicans
12046	5476	candida albicans
12047	5476	candida albicans
12048	5476	candida albicans
1205	5476	candida albicans
12051	5476	candida albicans
12057	5476	candida albicans
12058	5476	candida albicans
1206	5476	candida albicans
12060	5476	candida albicans
12061	5476	candida albicans
12063	5476	candida albicans
12064	5476	candida albicans
12066	5476	candida albicans
12067	5476	candida albicans
12069	5476	candida albicans
1207	5476	candida albicans
12075	5476	candida albicans
12080	5476	candida albicans
1209	5476	candida albicans
12090	5476	candida albicans
12091	5476	candida albicans
12092	5476	candida albicans
12093	5476	candida albicans
12094	5476	candida albicans
12095	5476	candida albicans
12098	5476	candida albicans
1210	5476	candida albicans
12101	5476	candida albicans
12105	5476	candida albicans
12106	5476	candida albicans
12109	5476	candida albicans
12110	5476	candida albicans
12111	5476	candida albicans
12112	5476	candida albicans
12113	5476	candida albicans
12115	5476	candida albicans
12117	5476	candida albicans
12119	5476	candida albicans
12120	5476	candida albicans
12124	5476	candida albicans
12127	5476	candida albicans
1213	5476	candida albicans
12130	5476	candida albicans
12135	5476	candida albicans
12139	5476	candida albicans
1214	5476	candida albicans
12141	5476	candida albicans
1215	5476	candida albicans
12153	5476	candida albicans
12156	5476	candida albicans
12157	5476	candida albicans
1216	5476	candida albicans
12161	5476	candida albicans
12165	5476	candida albicans
12167	5476	candida albicans
12168	5476	candida albicans
12169	5476	candida albicans
12172	5476	candida albicans
12173	5476	candida albicans
12174	5476	candida albicans
12176	5476	candida albicans
12179	5476	candida albicans
12180	5476	candida albicans
12181	5476	candida albicans
12183	5476	candida albicans
12185	5476	candida albicans
12186	5476	candida albicans
12189	5476	candida albicans
1219	5476	candida albicans
12190	5476	candida albicans
12197	5476	candida albicans
12198	5476	candida albicans
1220	5476	candida albicans
12201	5476	candida albicans
12204	5476	candida albicans
12205	5476	candida albicans
12207	5476	candida albicans
12208	5476	candida albicans
12209	5476	candida albicans
12210	5476	candida albicans
12212	5476	candida albicans
12213	5476	candida albicans
12217	5476	candida albicans
12221	5476	candida albicans
12222	5476	candida albicans
12225	5476	candida albicans
12227	5476	candida albicans
12229	5476	candida albicans
12232	5476	candida albicans
12234	5476	candida albicans
1224	5476	candida albicans
12243	5476	candida albicans
12244	5476	candida albicans
12245	5476	candida albicans
1225	5476	candida albicans
12251	5476	candida albicans
12252	5476	candida albicans
12253	5476	candida albicans
12255	5476	candida albicans
1226	5476	candida albicans
12260	5476	candida albicans
12265	5476	candida albicans
12268	5476	candida albicans
12269	5476	candida albicans
1227	5476	candida albicans
12271	5476	candida albicans
12273	5476	candida albicans
12274	5476	candida albicans
12275	5476	candida albicans
12279	5476	candida albicans
12284	5476	candida albicans
12285	5476	candida albicans
12291	5476	candida albicans
12292	5476	candida albicans
12293	5476	candida albicans
12294	5476	candida albicans
12299	5476	candida albicans
12300	5476	candida albicans
12302	5476	candida albicans
12305	5476	candida albicans
12308	5476	candida albicans
12309	5476	candida albicans
12310	5476	candida albicans
12313	5476	candida albicans
12317	5476	candida albicans
12318	5476	candida albicans
12319	5476	candida albicans
1232	5476	candida albicans
12322	5476	candida albicans
12324	5476	candida albicans
12325	5476	candida albicans
12327	5476	candida albicans
12328	5476	candida albicans
12331	5476	candida albicans
12336	5476	candida albicans
12340	5476	candida albicans
12341	5476	candida albicans
12343	5476	candida albicans
12344	5476	candida albicans
12345	5476	candida albicans
12349	5476	candida albicans
12351	5476	candida albicans
12352	5476	candida albicans
12355	5476	candida albicans
12358	5476	candida albicans
12359	5476	candida albicans
12361	5476	candida albicans
12362	5476	candida albicans
12363	5476	candida albicans
12367	5476	candida albicans
12369	5476	candida albicans
1237	5476	candida albicans
12373	5476	candida albicans
12374	5476	candida albicans
12375	5476	candida albicans
12379	5476	candida albicans
1238	5476	candida albicans
12383	5476	candida albicans
12386	5476	candida albicans
12388	5476	candida albicans
12389	5476	candida albicans
12391	5476	candida albicans
12393	5476	candida albicans
12395	5476	candida albicans
12396	5476	candida albicans
12398	5476	candida albicans
1240	5476	candida albicans
12402	5476	candida albicans
12405	5476	candida albicans
12406	5476	candida albicans
12408	5476	candida albicans
12409	5476	candida albicans
1241	5476	candida albicans
12412	5476	candida albicans
12415	5476	candida albicans
12419	5476	candida albicans
12422	5476	candida albicans
12424	5476	candida albicans
12425	5476	candida albicans
12426	5476	candida albicans
1243	5476	candida albicans
12436	5476	candida albicans
12442	5476	candida albicans
12443	5476	candida albicans
12446	5476	candida albicans
12451	5476	candida albicans
12452	5476	candida albicans
12457	5476	candida albicans
12458	5476	candida albicans
12460	5476	candida albicans
12461	5476	candida albicans
12462	5476	candida albicans
12464	5476	candida albicans
12466	5476	candida albicans
12469	5476	candida albicans
12470	5476	candida albicans
12471	5476	candida albicans
12472	5476	candida albicans
12475	5476	candida albicans
12478	5476	candida albicans
1248	5476	candida albicans
1249	5476	candida albicans
12493	5476	candida albicans
12495	5476	candida albicans
12496	5476	candida albicans
12497	5476	candida albicans
12498	5476	candida albicans
12499	5476	candida albicans
12501	5476	candida albicans
12502	5476	candida albicans
12503	5476	candida albicans
12504	5476	candida albicans
12505	5476	candida albicans
12506	5476	candida albicans
